Question,Ground truth,context
How do environmental factors influence coral disease prevalence in different regions?,"Environmental factors such as coral cover, degree of heat stress (measured by DHW), and amount of bleaching were expected to affect disease prevalence. However, the study found no significant relationship between disease prevalence and coral cover or DHW. Additionally, there was a negative relationship between these factors and disease prevalence, contrary to the expected positive relationship.","23
456 in the Persian Gulf and Williams et al. [72] found five affected coral genera in the Line Islands 
457 which has approximately 31 coral genera on its reefs [73]. 
458
459 Regional differences in disease and potential environmental co-factors
460 The survey sites were spread out along a latitudinal gradient spanning from 19˚ to 24˚N.  Among 
461 the survey sites, coral cover (a measure of host abundance) ranged from 3% to 83%, degree of 
462 heat stress, as measured by DHW, ranged from 2.5 to 5.3 and amount of bleaching ranged from 
463 0% to 54%.  All three of these co-factors would be expected to affect subsequent disease 
464 prevalence and as expected, average disease prevalence varied from 0% to 1.9%.  However, no 
465 significant relationship was found between disease prevalence and coral cover or DHW.  And 
466 even more surprising, there was a negative relationship, not a positive one as expected, between"
What factors contributed to the decline of the monk seal population at Pearl and Hermes Atoll?,"The decline of the monk seal population at Pearl and Hermes Atoll was contributed to by a sealing expedition in 1859, the harvesting of pearl oysters in the late 1920s, and construction activities on the islands. Additionally, the U.S. military's occupation of the atoll in 1961 during the construction of an observation tower also impacted the seal population.","were put in place to reduce disturbance to monk seals. There was a short ﬁve year increase in beach counts 
from 1995 – 2000 followed by a decline since 2000. 
Pearl and Hermes Atoll 
Impacts on the seal population at Pearl and Hermes Atoll started in 1859 when a sealing expedition visited the 
atoll. In the late 1920s pearl oysters were harvested and construction occurred on the islands. The U.S. military 
occupied the atoll in 1961 during construction of an observation tower. The atoll is now unoccupied except for 
NMFS summer ﬁ eld camps. 
The Pearl and Hermes Atoll seal population declined by an estimated 90% after the 1950s (Figure 6.34). From 
the mid-1970s to 2000 beach counts have increased. Speciﬁcally from 1983 to 2000 counts increased an aver­
age of 6%. As seen at Kure Atoll and Midway Atoll counts have declined since 2000. 
Lisianski Island 
Lisianski Island is the site of many 1900s ship wrecks and as seen with other wreck sites stranded sailors"
How did human activities in the 20th century impact the seal populations across different atolls?,"Human activities in the 20th century, such as sealing expeditions, pearl oyster harvesting, and military occupation, significantly impacted seal populations across different atolls. At Pearl and Hermes Atoll, the seal population declined by an estimated 90% after the 1950s due to these activities. Although there was an increase in beach counts from the mid-1970s to 2000, counts have declined since 2000, similar to trends observed at Kure Atoll and Midway Atoll.","were put in place to reduce disturbance to monk seals. There was a short ﬁve year increase in beach counts 
from 1995 – 2000 followed by a decline since 2000. 
Pearl and Hermes Atoll 
Impacts on the seal population at Pearl and Hermes Atoll started in 1859 when a sealing expedition visited the 
atoll. In the late 1920s pearl oysters were harvested and construction occurred on the islands. The U.S. military 
occupied the atoll in 1961 during construction of an observation tower. The atoll is now unoccupied except for 
NMFS summer ﬁ eld camps. 
The Pearl and Hermes Atoll seal population declined by an estimated 90% after the 1950s (Figure 6.34). From 
the mid-1970s to 2000 beach counts have increased. Speciﬁcally from 1983 to 2000 counts increased an aver­
age of 6%. As seen at Kure Atoll and Midway Atoll counts have declined since 2000. 
Lisianski Island 
Lisianski Island is the site of many 1900s ship wrecks and as seen with other wreck sites stranded sailors"
"What trends can be observed in the beach counts of monk seals from 1995 to the present, and what might this indicate about their conservation status?","From 1995 to 2000, there was a short five-year increase in beach counts of monk seals, followed by a decline since 2000. This trend indicates that while there was a temporary improvement in the seal population during the late 1990s, the subsequent decline suggests ongoing challenges to their conservation status.","were put in place to reduce disturbance to monk seals. There was a short ﬁve year increase in beach counts 
from 1995 – 2000 followed by a decline since 2000. 
Pearl and Hermes Atoll 
Impacts on the seal population at Pearl and Hermes Atoll started in 1859 when a sealing expedition visited the 
atoll. In the late 1920s pearl oysters were harvested and construction occurred on the islands. The U.S. military 
occupied the atoll in 1961 during construction of an observation tower. The atoll is now unoccupied except for 
NMFS summer ﬁ eld camps. 
The Pearl and Hermes Atoll seal population declined by an estimated 90% after the 1950s (Figure 6.34). From 
the mid-1970s to 2000 beach counts have increased. Speciﬁcally from 1983 to 2000 counts increased an aver­
age of 6%. As seen at Kure Atoll and Midway Atoll counts have declined since 2000. 
Lisianski Island 
Lisianski Island is the site of many 1900s ship wrecks and as seen with other wreck sites stranded sailors"
What are the potential consequences of habitat loss for species that rely on emergent land in the NWHI?,"The potential consequences of habitat loss for species that rely on emergent land in the NWHI include a significant reduction in available habitat, which will impact many species that are already rare. This loss may be devastating to populations that depend on these islands for survival.","stand the effects on the ecosystem it must be monitored at the island and atoll scale. 
One effect of rising sea level in the NWHI is the loss of habitat. Emergent land in the NWHI is estimated at a 
total 14 km2 and the loss of available emergent land will greatly reduce the available habitat for many species. 
The effect of habitat loss on species that use emergent land features will impact many of the species that are 
already rare and maybe devastating to those populations that depend on these islands for survival. Marine 
species that will be impacted by sea level rise include the Hawaiian monk seal, green turtle and several sea­
bird species. In addition there is the potential for further habitat degradation with the release of contaminants 
contained in landﬁlls and other areas as the islands are eroded or ﬂooded from sea level rise. 
Evidence of sea level rise can be clear- Table 10.3. Sea level rise scenarios modeled for French Frigate Shoals,"
How might rising sea levels affect the overall biodiversity of the NWHI ecosystem?,"Rising sea levels may lead to the loss of habitat, particularly emergent land, which is estimated at a total of 14 km2 in the NWHI. This reduction in available habitat will greatly impact many species, especially those that are already rare and depend on these islands for survival. Marine species such as the Hawaiian monk seal, green turtle, and several sea-bird species will be affected. Additionally, habitat degradation may occur due to the release of contaminants from landfills and other areas as the islands are eroded or flooded, further threatening biodiversity in the ecosystem.","stand the effects on the ecosystem it must be monitored at the island and atoll scale. 
One effect of rising sea level in the NWHI is the loss of habitat. Emergent land in the NWHI is estimated at a 
total 14 km2 and the loss of available emergent land will greatly reduce the available habitat for many species. 
The effect of habitat loss on species that use emergent land features will impact many of the species that are 
already rare and maybe devastating to those populations that depend on these islands for survival. Marine 
species that will be impacted by sea level rise include the Hawaiian monk seal, green turtle and several sea­
bird species. In addition there is the potential for further habitat degradation with the release of contaminants 
contained in landﬁlls and other areas as the islands are eroded or ﬂooded from sea level rise. 
Evidence of sea level rise can be clear- Table 10.3. Sea level rise scenarios modeled for French Frigate Shoals,"
In what ways could the degradation of habitats due to sea level rise impact marine species and their populations?,"The degradation of habitats due to sea level rise could impact marine species and their populations by reducing the available habitat for many species, particularly those that rely on emergent land features. This loss of habitat could be devastating for already rare species that depend on these islands for survival. Additionally, marine species such as the Hawaiian monk seal, green turtle, and several sea-bird species would be affected, potentially leading to declines in their populations. Furthermore, the release of contaminants from landfills and other areas as the islands are eroded or flooded could further degrade habitats, negatively impacting marine species.","stand the effects on the ecosystem it must be monitored at the island and atoll scale. 
One effect of rising sea level in the NWHI is the loss of habitat. Emergent land in the NWHI is estimated at a 
total 14 km2 and the loss of available emergent land will greatly reduce the available habitat for many species. 
The effect of habitat loss on species that use emergent land features will impact many of the species that are 
already rare and maybe devastating to those populations that depend on these islands for survival. Marine 
species that will be impacted by sea level rise include the Hawaiian monk seal, green turtle and several sea­
bird species. In addition there is the potential for further habitat degradation with the release of contaminants 
contained in landﬁlls and other areas as the islands are eroded or ﬂooded from sea level rise. 
Evidence of sea level rise can be clear- Table 10.3. Sea level rise scenarios modeled for French Frigate Shoals,"
What trends can be observed in the breeding populations of different seabird species from 1996 to 2006?,"From 1996 to 2006, the breeding population of Christmas Shearwaters appears to have declined in the years 2002-2006 compared to 1996-2001. In contrast, the number of Masked Booby breeding pairs increased steadily over the 11-year period. The breeding population sizes of all other species mentioned have fluctuated annually or remained stable during this time.","Masked Boobies, Red-tailed Tropic-
birds, Great Frigatebirds, Black Nod­
dies, Brown Noddies, White Terns and 
Gray-backed Terns from 1996 – 2006 
(Paciﬁc Seabird Monitoring Database, 
2008). In 2006, Bulwer’s Petrel nest 
boxes were temporarily relocated dur­
ing building construction on Tern Island, 
such that only natural crevices were 
available for nesting for this species 
in that year. The number of Christmas 
Shearwater breeding pairs appears to 
have declined in 2002-2006 relative to 1996-2001, and numbers of Masked Booby breeding pairs increased 
steadily over the 11-year period shown. All other species’ breeding population sizes have ﬂuctuated annually 
or remained stable from 1996-2006. 
0 
500 
1000 
1500 
2000 
2500 
3000 
3500 
4000 
4500 
1962 
1960-19831980
1982
1983
1984
1985
1986
1987
1988
1989
1990
1991
1992
1993
1994
1995
1996
1997
1998
1999
2000
2001
2002
2003
2004
2005
2007 
Total Breeding Pairs 
Laysan Albatross 
0 
1000 
2000 
3000 
4000 
5000 
6000 
7000"
What factors contributed to the increase in the green turtle nesting population size at French Frigate Shoals?,"The increase in green turtle nesting population size at French Frigate Shoals may be attributed in part to increased protections under the ESA, as harvesting of turtles on land or in waters surrounding the Hawaiian Islands was prohibited beginning in the late-1970s.","1973 to 2004 (Figure 6.40). Estimation 
of nesting population trends indicates
an increase in annual population size of 
approximately 5.7% per year (95% CI: 
5.3 - 6.1%) over that 32-year time peri-
od (Figure 6.40; Balazs and Chaloupka, 
2006). 
The increase in green turtle nest-
ing population size at French Frigate
Shoals (Figure 6.41) may be attributed 
in part to increased protections under
the ESA, as harvesting of turtles on land 
or in waters surrounding the Hawaiian 
Islands was prohibited beginning in the 
late-1970s. However, human impacts
on beach nesting habitat at French Frig-
ate Shoals also changed dramatically
over the last half of the 20th century.
From the late 1930s to early 1950s, the 
U.S. Navy and USCG operated Naval
Air and Long Range Navigation stations
on East Island; during that time, turtle
nesting and basking reportedly greatly
decreased (Amerson, 1971). After the
decommissioning of the Naval Air Sta-
tion and relocation of the USCG LORAN"
How did human activities in the mid-20th century impact turtle nesting and basking behaviors?,"Human activities, specifically the operation of Naval Air and Long Range Navigation stations by the U.S. Navy and USCG on East Island from the late 1930s to early 1950s, reportedly greatly decreased turtle nesting and basking behaviors during that time.","1973 to 2004 (Figure 6.40). Estimation 
of nesting population trends indicates
an increase in annual population size of 
approximately 5.7% per year (95% CI: 
5.3 - 6.1%) over that 32-year time peri-
od (Figure 6.40; Balazs and Chaloupka, 
2006). 
The increase in green turtle nest-
ing population size at French Frigate
Shoals (Figure 6.41) may be attributed 
in part to increased protections under
the ESA, as harvesting of turtles on land 
or in waters surrounding the Hawaiian 
Islands was prohibited beginning in the 
late-1970s. However, human impacts
on beach nesting habitat at French Frig-
ate Shoals also changed dramatically
over the last half of the 20th century.
From the late 1930s to early 1950s, the 
U.S. Navy and USCG operated Naval
Air and Long Range Navigation stations
on East Island; during that time, turtle
nesting and basking reportedly greatly
decreased (Amerson, 1971). After the
decommissioning of the Naval Air Sta-
tion and relocation of the USCG LORAN"
What role did legal protections play in the recovery of the green turtle population over the studied time period?,"Legal protections under the ESA contributed to the increase in the green turtle nesting population size at French Frigate Shoals by prohibiting the harvesting of turtles on land or in the waters surrounding the Hawaiian Islands, which began in the late-1970s.","1973 to 2004 (Figure 6.40). Estimation 
of nesting population trends indicates
an increase in annual population size of 
approximately 5.7% per year (95% CI: 
5.3 - 6.1%) over that 32-year time peri-
od (Figure 6.40; Balazs and Chaloupka, 
2006). 
The increase in green turtle nest-
ing population size at French Frigate
Shoals (Figure 6.41) may be attributed 
in part to increased protections under
the ESA, as harvesting of turtles on land 
or in waters surrounding the Hawaiian 
Islands was prohibited beginning in the 
late-1970s. However, human impacts
on beach nesting habitat at French Frig-
ate Shoals also changed dramatically
over the last half of the 20th century.
From the late 1930s to early 1950s, the 
U.S. Navy and USCG operated Naval
Air and Long Range Navigation stations
on East Island; during that time, turtle
nesting and basking reportedly greatly
decreased (Amerson, 1971). After the
decommissioning of the Naval Air Sta-
tion and relocation of the USCG LORAN"
What factors contribute to the differences in infection rates of L. kasmira between Hawai’i and French Polynesia?,"The differences in infection rates of L. kasmira between Hawai’i and French Polynesia are contributed to by fish size and geographic location. Specifically, fish size is significantly related to infection rate, and there is also a significant effect of geographic location after controlling for fish size. Additionally, Hawaiian L. kasmira harbored more parasites per infected host compared to populations in French Polynesia.","sampled in French Polynesia (Hawai’i: N = 288, mean fish
weight = 190.1 g, SE = 6.07; French Polynesia: N = 300, mean
fish weight = 137.6 g, SE = 4.92; unpaired t-test, t = 6.75,
P,0.001). At the archipelago level, 34.7% of L. kasmira sampled
in French Polynesia were infected (Table 1). In Hawai’i this
number was higher with 63.5% ofL. kasmira infected ( x2 = 37.2,
P,0.001) and when just the southeastern half of the archipelago
(the region of introduction) was considered (Fig. 2, HI to FF), the
infection rate was even higher, with 82.3% ofL. kasmira infected.
Although fish size was significantly related to infection rate
(ANCOVA, F = 9.9,P = 0.002), there was also a significant effect
of geographic location (Hawai’i vs. French Polynesia) after
controlling for the effect of fish size (ANCOVA, F = 37.8,
P,0.001). Hawaiian L. kasmira also harbored more parasites per
infected host than populations in their native range of French"
How does fish size relate to the infection rates of L. kasmira in different geographic locations?,"Fish size is significantly related to infection rate, with larger fish being more likely to be infected. Additionally, there is a significant effect of geographic location on infection rates, with Hawaiian L. kasmira having higher infection rates compared to those in French Polynesia, even after controlling for fish size.","sampled in French Polynesia (Hawai’i: N = 288, mean fish
weight = 190.1 g, SE = 6.07; French Polynesia: N = 300, mean
fish weight = 137.6 g, SE = 4.92; unpaired t-test, t = 6.75,
P,0.001). At the archipelago level, 34.7% of L. kasmira sampled
in French Polynesia were infected (Table 1). In Hawai’i this
number was higher with 63.5% ofL. kasmira infected ( x2 = 37.2,
P,0.001) and when just the southeastern half of the archipelago
(the region of introduction) was considered (Fig. 2, HI to FF), the
infection rate was even higher, with 82.3% ofL. kasmira infected.
Although fish size was significantly related to infection rate
(ANCOVA, F = 9.9,P = 0.002), there was also a significant effect
of geographic location (Hawai’i vs. French Polynesia) after
controlling for the effect of fish size (ANCOVA, F = 37.8,
P,0.001). Hawaiian L. kasmira also harbored more parasites per
infected host than populations in their native range of French"
What factors might influence the movement patterns of jobfish compared to giant trevally?,"Factors that might influence the movement patterns of jobfish compared to giant trevally include differences in their spawning strategy and a tendency for greater diel movement. Additionally, jobfish perform complete seasonal shifts in their home range, which may also affect their movement patterns.","A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands
306
Connectivity and Integrated Ecosystem Studies
Jobfish Movement
Movement patterns for jobfish were sim-
ilar to those observed for giant trevally 
(Figures 9.15). For example, all fish de-
tected at Rapture Reef were tagged at 
Disappearing Island, located close to 
Rapture Reef (Figure 9.16). However, 
there was no evidence that Rapture 
Reef is a spawning location for jobfish. 
Jobfish tagged along the south coast of 
Pearl and Hermes Atoll were detected 
by receivers on both the southwest and 
southeast tips (Figure 9.17). This sug-
gests behavior associated with long, 
daily and tidal excursions.
Overall, jobfish had lower numbers of 
detections/day than giant trevally. This 
may be a function of a key difference in 
their spawning strategy, as well as a ten-
dency for greater diel movement. Unlike 
giant trevally, jobfish perform complete 
seasonal shifts in their home range, oc-"
How do spawning strategies affect the detection rates of different fish species?,"Spawning strategies may affect the detection rates of different fish species by influencing their movement patterns. In the context provided, jobfish had lower numbers of detections per day compared to giant trevally, which may be attributed to differences in their spawning strategies and a tendency for greater diel movement in giant trevally.","A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands
306
Connectivity and Integrated Ecosystem Studies
Jobfish Movement
Movement patterns for jobfish were sim-
ilar to those observed for giant trevally 
(Figures 9.15). For example, all fish de-
tected at Rapture Reef were tagged at 
Disappearing Island, located close to 
Rapture Reef (Figure 9.16). However, 
there was no evidence that Rapture 
Reef is a spawning location for jobfish. 
Jobfish tagged along the south coast of 
Pearl and Hermes Atoll were detected 
by receivers on both the southwest and 
southeast tips (Figure 9.17). This sug-
gests behavior associated with long, 
daily and tidal excursions.
Overall, jobfish had lower numbers of 
detections/day than giant trevally. This 
may be a function of a key difference in 
their spawning strategy, as well as a ten-
dency for greater diel movement. Unlike 
giant trevally, jobfish perform complete 
seasonal shifts in their home range, oc-"
What are the main threats to native species in the NWHI as mentioned in the text?,"The main threats to native species in the NWHI are rats on Midway Atoll and Kure Atoll, along with invasive plants.","2005). They are not associated with 
subsurface predator schools.
 
In the NWHI, rats on Midway Atoll and 
Kure Atoll, along with invasive plants, 
were the main threats to the species. 
Rats have been eradicated, and USFWS is currently conducting native plant restoration and other alien spe­
cies removal projects to increase available nesting habitat.
 
Figure 7.30. Red-tailed Tropicbird, Tern Island, French Frigate Shoals. Pho­
to: C. Gregory. 
Figure 7.31. Red-tailed Tropicbird nesting sites and foraging areas in the 
NWHI. Source: USFWS, unpub. data; map: K. Keller."
What role does the USFWS play in the conservation efforts in the NWHI?,The USFWS is conducting native plant restoration and other alien species removal projects to increase available nesting habitat in the NWHI.,"2005). They are not associated with 
subsurface predator schools.
 
In the NWHI, rats on Midway Atoll and 
Kure Atoll, along with invasive plants, 
were the main threats to the species. 
Rats have been eradicated, and USFWS is currently conducting native plant restoration and other alien spe­
cies removal projects to increase available nesting habitat.
 
Figure 7.30. Red-tailed Tropicbird, Tern Island, French Frigate Shoals. Pho­
to: C. Gregory. 
Figure 7.31. Red-tailed Tropicbird nesting sites and foraging areas in the 
NWHI. Source: USFWS, unpub. data; map: K. Keller."
